condition_name,method_name,displacement_rmse_mean_m_monotonic,displacement_rmse_std_m_monotonic,displacement_rmse_mean_m_bidirectional,displacement_rmse_std_m_bidirectional,rmse_difference_m,exceeds_monotonic_noise_floor,unusable_rate_monotonic,unusable_rate_bidirectional,unusable_rate_difference,bidirectional_became_unusable
axis:hysteresis_magnitude=0.0,fitzgibbon,1.7958936619724295e-11,1.6823417986249729e-12,1.786387548104949e-11,1.6541107466371097e-12,-9.506113867480412e-14,False,0.0,0.0,0.0,False
axis:hysteresis_magnitude=0.0,halir_flusser,1.7958936619722334e-11,1.6823417986275e-12,1.786387548103985e-11,1.6541107466438796e-12,-9.506113868248463e-14,False,0.0,0.0,0.0,False
axis:hysteresis_magnitude=0.0,heydemann,1.7106073355031555e-11,1.5540020756523182e-12,1.6790233838840595e-11,1.3425362404241034e-12,-3.158395161909596e-13,False,0.0,0.0,0.0,False
axis:hysteresis_magnitude=0.0,kasa,3.6078224708676398e-09,1.947182136217996e-12,3.6077397130197216e-09,2.3790388964250955e-12,-8.275784791815635e-14,False,0.0,0.0,0.0,False
axis:hysteresis_magnitude=0.0,koning_wimmer_witkovsky,1.7945633721160534e-11,1.6760661836650366e-12,1.7867119144423195e-11,1.6409026011574384e-12,-7.851457673733864e-14,False,0.0,0.0,0.0,False
axis:hysteresis_magnitude=0.0,raw_atan2,3.7278627713939384e-09,1.9591900617085456e-12,3.727763971458239e-09,2.386680279608549e-12,-9.879993569917682e-14,False,0.0,0.0,0.0,False
axis:hysteresis_magnitude=0.0,taubin,3.6078225905337646e-09,1.9471555437399684e-12,3.607739813977948e-09,2.3790441849177173e-12,-8.27765558166337e-14,False,0.0,0.0,0.0,False
axis:hysteresis_magnitude=0.01,fitzgibbon,3.9239633356451015e-11,4.351150482031872e-12,2.63864436353674e-11,2.498514762959376e-12,-1.2853189721083615e-11,True,0.0,0.0,0.0,False
axis:hysteresis_magnitude=0.01,halir_flusser,3.9239633356441406e-11,4.351150482075286e-12,2.638644363538681e-11,2.498514762968241e-12,-1.2853189721054596e-11,True,0.0,0.0,0.0,False
axis:hysteresis_magnitude=0.01,heydemann,2.4695105294821392e-11,2.304216616377905e-12,2.0993095938120687e-11,1.7081055063271436e-12,-3.702009356700705e-12,True,0.0,0.0,0.0,False
axis:hysteresis_magnitude=0.01,kasa,3.6077417367578644e-09,2.156699948837891e-12,3.6078134740136037e-09,2.161372459526117e-12,7.173725573926897e-14,False,0.0,0.0,0.0,False
axis:hysteresis_magnitude=0.01,koning_wimmer_witkovsky,3.9141926332031494e-11,4.354272547129204e-12,3.1848023867972955e-11,2.6618740054815835e-12,-7.29390246405854e-12,True,0.0,0.0,0.0,False
axis:hysteresis_magnitude=0.01,raw_atan2,3.7276057297968584e-09,1.971285608373252e-12,3.727513923143919e-09,2.2490780900555996e-12,-9.180665293953239e-14,False,0.0,0.0,0.0,False
axis:hysteresis_magnitude=0.01,taubin,3.6077422632584927e-09,2.15658306683211e-12,3.607814394173299e-09,2.161275489958543e-12,7.213091480649917e-14,False,0.0,0.0,0.0,False
axis:hysteresis_magnitude=0.02,fitzgibbon,7.447657747023935e-11,4.824619491982922e-12,4.360131302565684e-11,3.115731876689032e-12,-3.087526444458251e-11,True,0.0,0.0,0.0,False
axis:hysteresis_magnitude=0.02,halir_flusser,7.447657747024421e-11,4.824619492025123e-12,4.360131302566873e-11,3.1157318766907503e-12,-3.087526444457548e-11,True,0.0,0.0,0.0,False
axis:hysteresis_magnitude=0.02,heydemann,4.00635573784014e-11,2.5074141970275912e-12,3.025948794988617e-11,1.5684169381671266e-12,-9.804069428515227e-12,True,0.0,0.0,0.0,False
axis:hysteresis_magnitude=0.02,kasa,3.60799753457388e-09,2.6815597545432128e-12,3.6080589206104624e-09,2.3471495624210296e-12,6.138603658258899e-14,False,0.0,0.0,0.0,False
axis:hysteresis_magnitude=0.02,koning_wimmer_witkovsky,7.427153790747083e-11,4.774879752593711e-12,8.262310570269391e-11,3.797512413285938e-12,8.35156779522308e-12,True,0.0,0.0,0.0,False
axis:hysteresis_magnitude=0.02,raw_atan2,3.728126569544764e-09,2.7628869972183617e-12,3.727495745430274e-09,2.2914663107686702e-12,-6.30824114490417e-13,False,0.0,0.0,0.0,False
axis:hysteresis_magnitude=0.02,taubin,3.607999942279985e-09,2.681725537507897e-12,3.6080626297613563e-09,2.347474851653014e-12,6.268748137140286e-14,False,0.0,0.0,0.0,False
axis:hysteresis_magnitude=0.05,fitzgibbon,1.7493231948220606e-10,4.082861709834741e-12,1.0872314692875225e-10,3.0846398832080934e-12,-6.620917255345381e-11,True,0.0,0.0,0.0,False
axis:hysteresis_magnitude=0.05,halir_flusser,1.7493231948221927e-10,4.082861709843878e-12,1.0872314692877179e-10,3.0846398831816083e-12,-6.620917255344748e-11,True,0.0,0.0,0.0,False
axis:hysteresis_magnitude=0.05,heydemann,8.909147284701693e-11,2.587972694505268e-12,6.55542382781094e-11,2.0294140630801754e-12,-2.3537234568907525e-11,True,0.0,0.0,0.0,False
axis:hysteresis_magnitude=0.05,kasa,3.608132118256563e-09,1.7109535331730145e-12,3.6105217439859095e-09,1.915995196978736e-12,2.3896257293465632e-12,True,0.0,0.0,0.0,False
axis:hysteresis_magnitude=0.05,koning_wimmer_witkovsky,1.7432775857780594e-10,4.081179095766985e-12,4.6388835046463157e-10,3.901974516679892e-12,2.895605918868256e-10,True,0.0,0.0,0.0,False
axis:hysteresis_magnitude=0.05,raw_atan2,3.728311764646485e-09,1.634258229607859e-12,3.728576494945247e-09,2.07558721602891e-12,2.647302987622676e-13,False,0.0,0.0,0.0,False
axis:hysteresis_magnitude=0.05,taubin,3.6081549783580213e-09,1.7105867966406193e-12,3.6105532747837034e-09,1.9158058373877443e-12,2.3982964256820435e-12,True,0.0,0.0,0.0,False
axis:hysteresis_magnitude=0.08,fitzgibbon,2.7126860826818303e-10,3.73558177118788e-12,1.8744673996100323e-10,3.814249549507254e-12,-8.38218683071798e-11,True,0.0,0.0,0.0,False
axis:hysteresis_magnitude=0.08,halir_flusser,2.7126860826816483e-10,3.735581771219421e-12,1.874467399610596e-10,3.814249549456731e-12,-8.382186830710522e-11,True,0.0,0.0,0.0,False
axis:hysteresis_magnitude=0.08,heydemann,1.366543721476995e-10,2.4296577323858947e-12,1.0491728912425754e-10,1.8706009975827802e-12,-3.173708302344195e-11,True,0.0,0.0,0.0,False
axis:hysteresis_magnitude=0.08,kasa,3.6084979082938053e-09,2.1051536802512562e-12,3.6118972128870544e-09,2.3055004088928932e-12,3.399304593249148e-12,True,0.0,0.0,0.0,False
axis:hysteresis_magnitude=0.08,koning_wimmer_witkovsky,2.70409621169092e-10,3.738598182719447e-12,1.2303061987329374e-09,5.0005752581769604e-12,9.598965775638454e-10,True,0.0,0.0,0.0,False
axis:hysteresis_magnitude=0.08,raw_atan2,3.728312611864779e-09,2.011636595457044e-12,3.727998915735139e-09,2.194060234897686e-12,-3.1369612964002153e-13,False,0.0,0.0,0.0,False
axis:hysteresis_magnitude=0.08,taubin,3.608463172735274e-09,2.1054049650885696e-12,3.6120197181168163e-09,2.308652142252191e-12,3.5565453815421767e-12,True,0.0,0.0,0.0,False
axis:hysteresis_magnitude=0.1,fitzgibbon,3.3103155795943354e-10,4.167019172331857e-12,2.464255275674842e-10,3.740365284858504e-12,-8.460603039194932e-11,True,0.0,0.0,0.0,False
axis:hysteresis_magnitude=0.1,halir_flusser,3.3103155795944047e-10,4.167019172355929e-12,2.464255275675168e-10,3.740365284817157e-12,-8.460603039192368e-11,True,0.0,0.0,0.0,False
axis:hysteresis_magnitude=0.1,heydemann,1.6702815220997102e-10,2.814074785282072e-12,1.3258595984494158e-10,2.0035233696432303e-12,-3.444219236502944e-11,True,0.0,0.0,0.0,False
axis:hysteresis_magnitude=0.1,kasa,3.608148131124948e-09,2.0850975736526604e-12,3.613155263370933e-09,1.999861330145544e-12,5.007132245984789e-12,True,0.0,0.0,0.0,False
axis:hysteresis_magnitude=0.1,koning_wimmer_witkovsky,3.300614489454634e-10,4.136765780477963e-12,2.015148261186181e-09,5.322751145036773e-12,1.6850868122407174e-09,True,0.0,0.0,0.0,False
